geoid10,Sum_acres_res,Sum_acres_sf8_7,prct_sf,CNTY,TRACT,BG,Total_pop,White_non_Hisp,Black_non_Hisp,AIAN_non_Hisp,API_non_Hisp,Other_2_non_Hisp,Hispanic_or_Latino,Total_Minority,pWhite_non_Hisp,pBlack_non_Hisp,pAIAN_non_Hisp,pAPI_non_Hisp,pOther_2__non_Hisp,pHispanic_or_Latino,pTotal_Minority,White__Black,White_AIAN,White__API,White__Other_2_,White__Hispanic,White__Minority,Black__AIAN,Black__API,Black__Other_2_,Black__Hispanic,AIAN__Asian,AIAN__Other_2_,AIAN__Hispanic,API__Other_2_,API__Hispanic,Other_2___Hispanic
5.3033E+11,93.59015088,54.50359588,0.582364655,33,1400,3,1548,1142,39,35,100,212,20,406,0.0004,0.0002,0.0012,0.0002,0.0009,0,0.0003,2.5725,-7.9186,2.5549,-4.2518,3.8152,1.5664,-10.4911,-0.0176,-6.8243,1.2427,10.4735,3.6669,11.7338,-6.8067,1.2603,8.0669
5.3033E+11,226.4845896,223.321612,0.986034469,33,1400,4,1388,1182,0,30,44,77,55,206,0.0004,0,0.001,0.0001,0.0003,0.0001,0.0001,4.454,-6.0219,3.6847,1.3468,3.1116,3.0654,-10.476,-0.7693,-3.1073,-1.3424,9.7067,7.3687,9.1336,-2.338,-0.5731,1.7649
5.3033E+11,129.0674219,128.3628582,0.99454112,33,1500,1,1488,1302,47,0,80,47,12,186,0.0005,0.0002,0,0.0001,0.0002,0,0.0001,2.8204,4.9062,3.5075,3.0096,4.6133,3.6524,2.0858,0.6871,0.1892,1.793,-1.3987,-1.8966,-0.2929,-0.4979,1.1058,1.6038
5.3033E+11,154.4019551,150.2923304,0.973383596,33,1500,2,1245,950,9,7,133,139,7,295,0.0004,0,0.0002,0.0002,0.0006,0,0.0002,3.1804,1.1354,1.2544,-2.0294,3.409,1.5912,-2.045,-1.926,-5.2098,0.2286,0.119,-3.1648,2.2735,-3.2838,2.1545,5.4384
5.3033E+11,221.9678932,221.9678932,1,33,1600,1,1766,1473,0,0,106,127,60,293,0.0006,0,0,0.0002,0.0005,0.0001,0.0002,5.5506,5.5506,3.6973,0.4256,4.0862,3.5754,0,-1.8533,-5.125,-1.4644,-1.8533,-5.125,-1.4644,-3.2717,0.3889,3.6605
5.3033E+11,163.4565445,163.4274028,0.999821716,33,1600,2,1448,1005,8,0,305,39,91,443,0.0004,0,0,0.0005,0.0002,0.0002,0.0003,3.432,3.7871,-1.5456,2.2132,1.566,0.8007,0.355,-4.9776,-1.2188,-1.866,-5.3327,-1.5738,-2.2211,3.7589,3.1116,-0.6472
5.3033E+11,92.43605605,52.92782038,0.572588475,33,1600,3,1555,1281,21,16,171,30,36,274,0.0005,0.0001,0.0006,0.0003,0.0001,0.0001,0.0002,3.8951,-0.7601,1.8373,3.6165,3.9484,2.98,-4.6552,-2.0578,-0.2786,0.0533,2.5974,4.3766,4.7085,1.7792,2.1111,0.332
5.3033E+11,79.99988161,42.69289185,0.533661938,33,1701,1,2059,1219,193,9,232,137,269,840,0.0005,0.0009,0.0003,0.0004,0.0006,0.0007,0.0006,-3.9718,1.4507,0.5371,-0.9351,-1.9721,-1.0691,5.4225,4.509,3.0368,1.9998,-0.9135,-2.3857,-3.4228,-1.4722,-2.5092,-1.037
5.3033E+11,75.33048788,57.44508818,0.762574222,33,1701,2,1220,928,97,0,71,59,65,292,0.0003,0.0004,0,0.0001,0.0002,0.0002,0.0002,-0.8079,3.4969,2.2555,1.116,1.9104,1.5285,4.3048,3.0635,1.9239,2.7184,-1.2414,-2.3809,-1.5865,-1.1395,-0.3451,0.7944
5.3033E+11,65.26407926,46.00836206,0.704956886,33,1701,3,939,808,46,0,82,0,3,131,0.0003,0.0002,0,0.0001,0,0,0.0001,1.0033,3.0447,1.611,3.0447,2.9715,2.1616,2.0415,0.6078,2.0415,1.9682,-1.4337,0,-0.0732,1.4337,1.3605,-0.0732
